company_name,title,location,job_types,tags,is_remote
hellomateo,Office Manager (m/f/d) - Part-Time,Berlin,[],['Administration'],False
Chaos,Working Student - Social Media Marketing (m/f/d),Karlsruhe,"['Contract', 'student (college)']","['Marketing and pr', ""bachelor's degree""]",False
eder - Agentur für Produktkommunikation,Mediengestalter:in,Hamburg,['berufserfahren'],['Graphic Arts and Communication Design'],False
VIA HealthTech,Marketing & Automation Lead - Digital Health & Growth (m/w/d),Berlin,['berufserfahren'],['Marketing and Communication'],False
Born Originals GmbH,Marketing Manager (m/w/d),Wilhelmshaven,['berufserfahren'],['Marketing Manager'],False
RealStudio,Video Editor/ Cutter (m/w/d) (Social Media/Short-Form-Content) TikTok/ Instagram Reels/ YouTube Shorts,Berlin,[],['Social Media Manager'],False
G&S IT Group GmbH,Marketing Assistant (m/w/d),Osnabrück,[],['Marketing and Communication'],False
Schwape GmbH,Frontend Developer (f/m/d),Potsdam,['professional / experienced'],['Web Development'],False
Die ITeen-Schmiede,Minijob: Marketing Manager:in (m/w/d),Albstadt,"['Side', 'berufserfahren']","['Remote', 'Marketing Manager']",True
ju:niz Energy GmbH,Project Development Manager (m/w/d) – Co-Development & M&A (Energy Storage),Munich,['berufserfahren'],['Project Management'],False
Clariness GmbH,Finance Assistent (f/m/d),Hamburg,[],['Finance'],False
Assecor GmbH,AI & Automation Specialist (m/w/d),Berlin,['berufserfahren'],['Software Development'],False
agap2 - moOngy GmbH,Facilities Manager (m/w/d),Hamburg,[],"['Building', 'Supply', 'Safety Services Engineering']",False
Green TC GmbH,Marketing- & Eventmanager (m/w/d),Paderborn,[],['Marketing and Communication'],False
Green TC GmbH,IT- & E-Commerce-Support (m/w/d),Paderborn,[],['IT'],False
Samsung SDS Europe Ltd. German Branch (Logistics Division),Human Resources Manager,Eschborn,['manager'],"['Management', 'Team Leader']",False
hellomateo,(Senior) Solution Engineer (m/w/d) - Software Startup,Berlin,['berufserfahren'],"['Consulting', 'Engineering']",False
accompio GmbH,IT-Systemadministator (m/w/d) Modern Workplace - deutschlandweit,Einbeck,['berufserfahren'],['System and Network Administration'],False
RealStudio,Videograf Social Media (m/w/d),Berlin,[],['Social Media Manager'],False
Studyscript,Werkstudent:in SEO-Texter (m/w/d),Mainz,['Working student'],"['Remote', 'Online Marketing']",True
univativ GmbH,Technischer Berater (m/w/d),Regensburg,[],['IT'],False
trafficdesign GmbH,Digital Consultant - Performance Marketing (m/w/d),Cologne,['berufserfahren'],['Online Marketing'],False
trafficdesign GmbH,Senior Online Marketing Manager:in (m/w/d),Cologne,['berufserfahren'],['Online Marketing'],False
trafficdesign GmbH,Online Marketing Projektmanager:in (m/w/d),Cologne,['berufserfahren'],['Online Marketing'],False
Catella Engineering GmbH,Projektingenieur (m/w/d) Brennstoffzellensysteme im Automotive Bereich,Kirchheim unter Teck,[],['Engineering'],False
UnternehmerTUM GmbH,Software Engineer,Garching,"['Full-time', 'entry']","['Internet and software', ""bachelor's degree""]",False
UnternehmerTUM GmbH,Product Manager,Garching,"['Full-time', 'entry']","['Other', ""bachelor's degree""]",False
wd3 GmbH Xbrick,Koordinator:in Internationaler Vertrieb & Marketing (m/w/d) für Xbrick® Das Multifunktionsmöbel,Stuttgart,['berufseinstieg'],"['Management', 'Team Leader']",False
QUESTALPHA GmbH & Co. KG,Sachbearbeiter Fertigungssteuerung (m/w/d),Eschenburg,[],['Engineering'],False
iconCXM GmbH,Head of Projects (m/w/d),Stuttgart,['teamleitung'],"['Remote', 'Project Management']",True
Hasomed GmbH,QA Engineer / Software Test Engineer (m/f/d),Magdeburg,[],['Business Development'],False
ATS Gesellschaft für angewandte technische Systeme mbH,People Operations Officer  (m/w/d) als Elternzeitvertretung,Kassel,['berufserfahren'],['Personnel Specialist'],False
QUESTALPHA GmbH & Co. KG,Spezialist für Qualifizierung / Validierung (m/w/d),Eschenburg,[],['Engineering'],False
BRÜGGEN ENGINEERING GmbH,Labormitarbeiter R&D (m/w/d) Pharmazie in Ludwigshafen am Rhein (1005),Ludwigshafen,[],['Engineering'],False
pflege.de | web care LBJ GmbH,Werkstudent (m/w/d) HR mit Schwerpunkt Recruiting,Hamburg,"['Working student', 'hilfstätigkeit / student']",['HR'],False
TAUBER Unternehmensgruppe,Kalkulator:in in der Kampfmittelräumung (w/m/d) auch für Quereinsteiger geeignet,Weiterstadt,['berufserfahren'],['Process Engineering'],False
Jürgen Tausch Personnel Service,Teamleiter Controlling (m/w/d),Dresden,['berufserfahren'],['Controlling'],False
allaboutHRLaw GmbH,Junior HR Business Partner (m/w/d) in Teilzeit,Munich,[],['HR'],False
nedeco GmbH,Fullstack-Entwickler,Nordhorn,[],['Software Development'],False
Level Nine,Senior Process Engineer (FOAK Scale-up & Development),Berlin,['manager'],['Engineering'],False
TAUBER Unternehmensgruppe,Geophysiker:in (m/w/d) - Weiterstadt,Weiterstadt,['berufserfahren'],['Process Engineering'],False
BrandLift GmbH,Steuerfachangestellte auf Minijob-Basis,Berlin,['berufserfahren'],['Finance'],False
Strategy Core Ventures GmbH,Marketing Manager (m/w/d),Hamburg,[],['Online Marketing'],False
JobAtlas,Projektentwickler (m/w/d) mit Schwerpunkt Flächenakquise - Erneuerbare Energien,Mainz,[],['Project Management'],False
Strategy Core Ventures GmbH,Senior Sales Manager (m/w/d),Hamburg,[],"['Management', 'Team Leader']",False
